"code","name"
"M","Littoral biogenic (salt marshes)"
"MA","Marine habitats"
"MA2","Marine habitats"
"MA21","Arctic littoral biogenic habitats"
"MA211","Arctic coastal saltmarsh"
"MA22","Atlantic littoral biogenic habitats"
"MA221","Atlantic saltmarsh driftline"
"MA222","Atlantic upper saltmarsh"
"MA223","Atlantic upper-mid saltmarsh and saline and brackish reed, rush and sedge bed"
"MA224","Atlantic mid-low saltmarsh"
"MA225","Atlantic pioneer saltmarsh"
"MA23","Baltic hydrolittoral biogenic habitats"
"MA232","Baltic coastal meadow"
"MA24","Black Sea littoral biogenic habitats"
"MA241","Black Sea littoral saltmarsh"
"MA25","Mediterranean littoral biogenic habitats"
"MA251","Mediterranean upper saltmarsh"
"MA252","Mediterranean upper-mid saltmarsh and saline and brackish reed, rush and sedge bed"
"MA253","Mediterranean mid-low saltmarsh"
"N","Coastal"
"N1","Coastal dunes and sandy shores"
"N11","Atlantic, Baltic and Arctic sand beach"
"N12","Mediterranean and Black Sea sand beach"
"N13","Atlantic and Baltic shifting coastal dune"
"N14","Mediterranean, Macaronesian and Black Sea shifting coastal dune"
"N15","Atlantic and Baltic coastal dune grassland (grey dune)"
"N16","Mediterranean and Macaronesian coastal dune grassland (grey dune)"
"N17","Black Sea coastal dune grassland (grey dune)"
"N18","Atlantic and Baltic coastal Empetrum heath"
"N19","Atlantic coastal Calluna and Ulex heath"
"N1A","Atlantic and Baltic coastal dune scrub"
"N1B","Mediterranean and Black Sea coastal dune scrub"
"N1C","Macaronesian coastal dune scrub"
"N1D","Atlantic and Baltic broad-leaved coastal dune forest"
"N1E","Black Sea broad-leaved coastal dune forest"
"N1F","Baltic coniferous coastal dune forest"
"N1G","Mediterranean coniferous coastal dune forest"
"N1H","Atlantic and Baltic moist and wet dune slack"
"N1J","Mediterranean and Black Sea moist and wet dune slack"
"N2","Coastal shingle"
"N21","Atlantic, Baltic and Arctic coastal shingle beach"
"N22","Mediterranean and Black Sea coastal shingle beach"
"N23","*Shingle and gravel beach with scrub"
"N24","*Shingle and gravel beach forest"
"N3","Rock cliffs, ledges and shores, including the supralittoral"
"N31","Atlantic and Baltic rocky sea cliff and shore"
"N32","Mediterranean and Black Sea rocky sea cliff and shore"
"N33","Macaronesian rocky sea cliff and shore"
"N34","Atlantic and Baltic soft sea cliff"
"N35","Mediterranean and Black Sea soft sea cliff"
"P1","Standing aquatic habitats"
"P2","Running aquatic habitats"
"P3","Aquatic plant communities"
"Pa","Base-poor spring and spring brook"
"Pb","Calcareous spring and spring brook"
"Pc","Brackish-water vegetation"
"Pd","Fresh-water small pleustophyte vegetation"
"Pe","Fresh-water large pleustophyte vegetation"
"Pf","Fresh-water submerged vegetation"
"Pg","Fresh-water nymphaeid vegetation"
"Ph","Oligotrophic-water vegetation"
"Pi","Dystrophic-water vegetation"
"Pj","Stonewort vegetation"
"Q","Wetlands"
"Q1","Raised and blanket bogs"
"Q11","Raised bog"
"Q12","Blanket bog"
"Q2","Valley mires, poor fens and transition mires"
"Q21","Oceanic valley mire"
"Q22","Poor fen"
"Q23","Relict mire of Mediterranean mountains"
"Q24","Intermediate fen and soft-water spring mire"
"Q25","Non-calcareous quaking mire"
"Q3","Palsa mires"
"Q31","*Palsa mire"
"Q32","*Polygon mire"
"Q4","Base-rich fens and calcareous spring mires"
"Q41","Alkaline, calcareous, carbonate-rich small-sedge spring fen"
"Q42","Extremely rich moss-sedge fen"
"Q43","Tall-sedge base-rich fen"
"Q44","Calcareous quaking mire"
"Q45","Arctic-alpine rich fen"
"Q46","Carpathian travertine fen with halophytes"
"Q5","Helophyte beds"
"Q51","Tall-helophyte bed"
"Q52","Small-helophyte bed"
"Q53","Tall-sedge bed"
"Q54","Inland saline or brackish helophyte bed"
"Q6","Periodically exposed shores"
"Qa","Mires"
"Qb","Wetlands"
"R","Grassland and lands dominated by forbs, mosses or lichens"
"R1","Dry grasslands"
"R11","Pannonian and Pontic sandy steppe"
"R12","Cryptogam- and annual-dominated vegetation on siliceous rock outcrops"
"R13","Cryptogam- and annual-dominated vegetation on calcareous and ultramafic rock outcrops"
"R14","Perennial rocky grassland of the Italian Peninsula"
"R15","Continental dry rocky steppic grassland and dwarf scrub on chalk outcrops"
"R16","Perennial rocky grassland of Central and South-Eastern Europe"
"R17","Heavy-metal dry grassland of the Balkans"
"R18","Perennial rocky calcareous grassland of subatlantic-submediterranean Europe"
"R19","Dry steppic submediterranean pasture of the Amphi-Adriatic region"
"R1A","Semi-dry perennial calcareous grassland (meadow steppe)"
"R1B","Continental dry grassland (true steppe)"
"R1C","Desert steppe"
"R1D","Mediterranean closely grazed dry grassland"
"R1E","Mediterranean tall perennial dry grassland"
"R1F","Mediterranean annual-rich dry grassland"
"R1G","Iberian oromediterranean siliceous dry grassland"
"R1H","Iberian oromediterranean basiphilous dry grassland"
"R1J","Cyrno-Sardean oromediterranean siliceous dry grassland"
"R1K","Balkan and Anatolian oromediterranean dry grassland"
"R1L","Madeiran oromediterranean siliceous dry grassland"
"R1M","Lowland to montane, dry to mesic grassland usually dominated by Nardus stricta"
"R1N","Open Iberian supramediterranean dry acid and neutral grassland"
"R1P","Oceanic to subcontinental inland sand grassland on dry acid and neutral soils"
"R1Q","Inland sanddrift and dune with siliceous grassland"
"R1R","Mediterranean to Atlantic open, dry, acid and neutral grassland"
"R1S","Heavy-metal grassland in Western and Central Europe"
"R1T","Azorean open, dry, acid to neutral grassland"
"R2","Mesic grasslands"
"R21","Mesic permanent pasture of lowlands and mountains"
"R22","Low and medium altitude hay meadow"
"R23","Mountain hay meadow"
"R24","Iberian summer pasture (vallicar)"
"R3","Seasonally wet and wet grasslands"
"R3 ","Seasonally wet and wet grasslands"
"R31","Mediterranean tall humid inland grassland"
"R32","Mediterranean short moist grassland of lowlands"
"R33","Mediterranean short moist grassland of mountains"
"R34","Submediterranean moist meadow"
"R35","Moist or wet mesotrophic to eutrophic hay meadow"
"R36","Moist or wet mesotrophic to eutrophic pasture"
"R37","Temperate and boreal moist or wet oligotrophic grassland"
"R4","Alpine and subalpine grasslands"
"R4 ","Alpine and subalpine grasslands "
"R41","Snow-bed vegetation"
"R42","Boreal and Arctic acidophilous alpine grassland"
"R43","Temperate acidophilous alpine grassland"
"R44","Arctic-alpine calcareous grassland"
"R45","Alpine and subalpine calcareous grassland of the Balkans and Apennines"
"R5","Woodland fringes and clearings and tall forb stands"
"R51","Thermophilous forest fringe of base-rich soils"
"R52","Forest fringe of acidic nutrient-poor soils"
"R53","Macaronesian thermophilous forest fringe"
"R54","Pteridium aquilinum vegetation"
"R55","Lowland moist or wet tall-herb and fern fringe"
"R56","Montane to subalpine moist or wet tall-herb and fern fringe"
"R57","Herbaceous forest clearing vegetation"
"R6","Inland salt steppes and salt marshes"
"R61","Mediterranean inland salt steppe"
"R62","Continental inland salt steppe"
"R63","Temperate inland salt marsh"
"R64","Semi-desert salt pan"
"R65","Continental subsaline alluvial pasture and meadow"
"R7","Sparsely wooded grasslands"
"R71","*Temperate wooded pasture and meadow"
"R72","*Hemiboreal and boreal wooded pasture and meadow"
"R73","*Mediterranean wooded pasture and meadow"
"S","Heathland, scrub and tundra"
"S1","Tundra"
"S1 ","Tundra"
"S11","Shrub tundra"
"S12","Moss and lichen tundra"
"S2","Arctic, alpine and subalpine scrub"
"S21","Subarctic and alpine dwarf Salix scrub"
"S22","Alpine and subalpine ericoid heath"
"S23","Alpine and subalpine Juniperus scrub"
"S24","Subalpine genistoid scrub of the Amphi-Adriatic region"
"S25","Subalpine and subarctic deciduous scrub"
"S26","Subalpine Pinus mugo scrub"
"S27","*Krummholz with conifers other than Pinus mugo"
"S3","Temperate and Mediterranean-montane scrub"
"S31","Lowland to montane temperate and submediterranean Juniperus scrub"
"S32","Temperate Rubus scrub"
"S33","Lowland to montane temperate and submediterranean genistoid scrub"
"S34","Balkan-Anatolian submontane genistoid scrub"
"S35","Temperate and submediterranean thorn scrub"
"S36","Low steppic scrub"
"S37","Corylus avellana scrub"
"S38","Temperate forest clearing scrub"
"S4","Temperate heathland"
"S41","Wet heath"
"S42","Dry heath"
"S43","Macaronesian heath"
"S5","Maquis, arborescent matorral and thermo-Mediterranean scrub"
"S51","Mediterranean maquis and arborescent matorral"
"S52","Submediterranean pseudomaquis"
"S53","Spartium junceum scrub"
"S54","Thermomediterranean arid scrub"
"S6","Garrigue"
"S61","Western basiphilous garrigue"
"S62","Western acidophilous garrigue"
"S63","Eastern garrigue"
"S64","Macaronesian garrigue"
"S65","Mediterranean gypsum scrub"
"S66","Mediterranean halo-nitrophilous scrub"
"S67","Aralo-Caspian semi-desert"
"S68","Semi-desert sand dune with sparse scrub"
"S7","Spiny Mediterranean heaths"
"S71","Western Mediterranean spiny heath"
"S72","Eastern Mediterranean spiny heath (phrygana)"
"S73","Western Mediterranean mountain hedgehog-heath"
"S74","Central Mediterranean mountain hedgehog-heath"
"S75","Eastern Mediterranean mountain hedgehog-heath"
"S76","Canarian mountain hedgehog-heath"
"S8","Thermo-Atlantic xerophytic scrub"
"S81","Canarian xerophytic scrub"
"S82","Madeiran xerophytic scrub"
"S9","Riverine and fen scrub"
"S91","Temperate riparian scrub"
"S92","Salix fen scrub"
"S93","Mediterranean riparian scrub"
"S94","Semi-desert riparian scrub"
"Sa","Scrub"
"Sb","Dwarf-shrub vegetation"
"T","Forest and other wooded land"
"T1","Broadleaved deciduous forests"
"T11","Temperate Salix and Populus riparian forest"
"T12","Alnus glutinosa-Alnus incana forest on riparian and mineral soils"
"T13","Temperatehardwood riparian forest"
"T14","Mediterranean and Macaronesian riparian forest"
"T15","Broadleaved swamp forest on non-acid peat"
"T16","Broadleaved mire forest on acid peat"
"T17","Fagus forest on non-acid soils"
"T18","Fagus forest on acid soils"
"T19","Temperate and submediterranean thermophilous deciduous forest"
"T1A","Mediterranean thermophilous deciduous forest"
"T1B","Acidophilous Quercus forest"
"T1C","Temperate and boreal mountain Betula and Populus tremula forest on mineral soils"
"T1D","Southern European mountain Betula and Populus tremula forest on mineral soils"
"T1E","Carpinus and Quercus mesic deciduous forest"
"T1F","Ravine forest"
"T1G","Alnus cordata forest"
"T1H","Broadleaved deciduous plantation of non site-native trees"
"T1J","*Deciduous self-sown forest of non site-native trees"
"T1K","*Broadleaved deciduous plantation of site-native trees"
"T2","Broadleaved evergreen forests"
"T21","Mediterranean evergreen Quercus forest"
"T22","Mainland laurophyllous forest"
"T23","Macaronesian laurophyllous forest"
"T24","Olea europaea-Ceratonia siliqua forest"
"T25","Phoenix theophrasti vegetation"
"T26","Phoenix canariensis vegetation"
"T27","Ilex aquifolium forest"
"T28","Macaronesian heathy forest"
"T29","Broadleaved evergreen plantation of non site-native trees"
"T2A","*Broadleaved evergreen plantation of site-native trees"
"T3","Coniferous forests"
"T31","Temperate mountain Picea forest"
"T32","Temperate mountain Abies forest"
"T33","Mediterranean mountain Abies forest"
"T34","Temperate subalpine Larix, Pinus cembra and Pinus uncinata forest"
"T35","Temperate continental Pinus sylvestris forest"
"T36","Temperate and submediterranean montane Pinus sylvestris-Pinus nigra forest"
"T37","Mediterranean montane Pinus sylvestris-Pinus nigra forest"
"T38","Mediterranean montane Cedrus forest"
"T39","Mediterranean and Balkan subalpine Pinus heldreichii-Pinus peuce forest"
"T3A","Mediterranean lowland to submontane Pinus forest"
"T3B","Pinus canariensis forest"
"T3C","Taxus baccata forest"
"T3D","Mediterranean Cupressaceae forest"
"T3E","Macaronesian Juniperus forest"
"T3F","Dark taiga"
"T3G","Pinus sylvestris light taiga"
"T3H","Larix light taiga"
"T3J","Pinus and Larix mire forest"
"T3K","Picea mire forest"
"T3L","*Coniferous self-sown forest of non site-native trees"
"T3M","Coniferous plantation of non site-native trees"
"T3N","*Coniferous plantation of site-native trees"
"T4","Lines of trees, small anthropogenic forests, recently felled forest, early-stage forest and coppice"
"T41","*Early-stage natural and semi-natural forest and regrowth"
"T42","*Coppice and early-stage plantation"
"T43","*Recently felled areas"
"U","Inland habitats"
"U1","Terrestrial underground caves, cave systems, passages and waterbodies"
"U11","Cave"
"U12","Disused underground mines and tunnels"
"U2","Screes"
"U21","Boreal and arctic siliceous scree and block field"
"U22","Temperate high-mountain siliceous scree"
"U23","Temperate, lowland to montane siliceous scree"
"U24","Mediterranean siliceous scree"
"U25","Boreal and arctic base-rich scree and block field"
"U26","Temperate high-mountain base-rich scree and moraine"
"U27","Temperate, lowland to montane base-rich scree"
"U28","Western Mediterranean base-rich scree"
"U29","Eastern Mediterranean base-rich scree"
"U2A","Crimean base-rich scree"
"U3","Inland cliffs, rock pavements and outcrops"
"U31","Boreal and arctic siliceous inland cliff"
"U32","Temperate high-mountain siliceous inland cliff"
"U33","Temperate, lowland to montane siliceous inland cliff"
"U34","Mediterranean siliceous inland cliff"
"U35","Boreal and arctic base-rich inland cliff"
"U36","Temperate high-mountain base-rich inland cliff"
"U37","Temperate, lowland to montane base-rich inland cliff"
"U38","Mediterranean base-rich inland cliff"
"U39","Boreal ultramafic inland cliff"
"U3A","Temperate ultramafic inland cliff"
"U3B","Mediterranean ultramafic inland cliff"
"U3C","Macaronesian inland cliff"
"U3D","Wet inland cliff"
"U3E","Limestone pavement"
"U4","Snow or ice-dominated habitats"
"U41","Snow pack"
"U42","Ice cap and glacier"
"U43","Rock glacier and unvegetated ice-dominated moraine"
"U5","Miscellaneous inland habitats usually with very sparse or no vegetation"
"U51","Fjell field"
"U52","Polar desert"
"U53","Glacial moraine with very sparse or no vegetation"
"U6","Recent volcanic features"
"U61","Subarctic volcanic field"
"U62","Mediterranean, Macaronesian and temperate volcanic field"
"U7","Unvegetated or sparsely vegetated gravel bars"
"V","Vegetated man-made"
"V1","Arable land and market gardens"
"V11","Intensive unmixed crops"
"V12","Mixed crops of market gardens and horticulture"
"V13","Arable land with unmixed crops grown by low-intensity agricultural methods"
"V14","Inundated or inundatable cropland, including rice fields"
"V15","Bare tilled, fallow or recently abandoned arable land"
"V2","Cultivated areas of gardens and parks"
"V21","*Large-scale ornamental garden area"
"V22","*Small-scale ornamental and domestic garden area"
"V23","*Recently abandoned garden area"
"V3","Artificial grasslands and herb-dominated habitats"
"V31","*Agriculturally-improved, re-seeded and heavily fertilised grassland, including sports fields and grass lawns"
"V32","Mediterranean subnitrophilous annual grasslands"
"V33","Dry mediterranean lands with unpalatable non-vernal herbaceous vegetation"
"V34","Trampled xeric grassland with annuals"
"V35","Trampled mesophilous grassland with annuals"
"V36","*Alpine and subalpine enriched grassland"
"V37","Annual anthropogenic herbaceous vegetation"
"V38","Dry perennial anthropogenic herbaceous vegetation"
"V39","Mesic perennial anthropogenic herbaceous vegetation"
"V4","Hedgerows"
"V41","*Hedgerow of non-native species"
"V42","*Highly-managed hedgerows of native species"
"V43","*Species-rich hedgerows of native species"
"V44","*Species-poor hedgerows of native species"
"V5","Shrub plantations"
"V51","*Shrub plantations for whole-plant harvesting"
"V52","*Shrub plantations for leaf or branch harvest"
"V53","*Shrub plantations for ornamental purposes or for fruit, other than vineyards"
"V54","*Vineyards"
"V6","Tree dominated man-made habitats"
"V61","*Broadleaved fruit and nut tree orchards"
"V62","*Evergreen orchards and groves"
"V63","*Lines of planted trees"
"V64","*Small deciduous broadleaved planted other wooded land"
"V65","*Small evergreen broadleaved planted other wooded land"
"V66","*Small coniferous planted other wooded land"
